L1time,L1bx,L1by,L1bz,L1btot,L1n,L1T,L1V_x,L1V_y,L1V_z,L1V_tot,L1P_dyn,L2time,L2bx,L2by,L2bz,L2btot,L2n,L2T,L2V_x,L2V_y,L2V_z,L2V_tot,Rmp,Rbs,Long
02:34,8.013671666666667,3.121966666666667,-5.619246666666666,10.290548921503282,24.47,34304.7315848269,-369.3123333333333,-29.815433333333335,-39.54486666666667,372.6566484289586,5.6747926710689995,01:45,2.3938043999999996,-5.579097399999999,-3.8404021999999975,7.3386198,11.946265420000007,288479.19294266653,-357.5604430000001,-26.30254871800001,-35.95667257,360.37620711259996,7.082350397750273,9.029996757131599,67.92866672215023
02:39,7.4269549999999995,3.3815483333333334,-6.339928333333333,10.353660758410015,24.7223,39067.56191523109,-369.32166666666666,-30.415566666666667,-38.394200000000005,372.5698065613019,5.733393303441916,01:40,2.5646016000000005,-5.552517300000001,-3.213987550000001,7.0018424,12.786752029999997,285779.70516800013,-356.32364239999987,-28.909270290000006,-36.55648005999999,359.3668378270615,7.070801817906204,9.01527231783041,67.90970102694084
02:44,7.181456666666667,2.48865,-6.636046666666666,10.091707471649867,25.2825,37547.54615547666,-367.3086666666666,-38.4335,-30.05276666666667,370.5391156142128,5.798886453580894,01:35,3.502770399999999,-5.408033900000001,-0.437945197,6.5108702,14.169182529999999,284550.46662400017,-352.45681399999995,-26.509589400000003,-31.72354263,354.8786133355212,7.0572906864271046,8.998045625194559,67.88745001088418
02:49,7.13348,1.6933308333333332,-6.562316666666668,9.864575220197564,26.601066666666668,38777.89700141225,-366.684,-38.757733333333334,-30.52316666666667,370.0486813016528,6.082933982664137,01:30,3.1955443000000003,-5.3758112,0.11113586079999999,6.312137300000001,15.051337609999992,285524.1867093333,-352.7553333999999,-27.679662310000005,-29.587539080000003,355.0793132114254,7.000835936432427,8.926065818951345,67.79374223429555
02:54,6.916415000000001,1.6014571666666668,-5.7308683333333335,9.160767360251034,27.3312,35903.44880960871,-379.8593333333333,-32.3239,-40.403866666666666,383.40511361919135,6.707688954240203,01:25,1.3653803084299998,-5.8784867,-1.3778927800000003,6.675120800000001,14.69633561999999,293727.429392,-360.1853892000001,-23.493015504000006,-37.54454865,363.02429865310944,6.88742599428422,8.78146814271238,67.60183033182496
02:59,6.831603333333333,1.1985100000000002,-5.134991666666667,8.653735005758245,27.76733333333333,34552.12005427296,-377.94166666666666,-33.02856666666667,-43.46863333333334,381.91252506138,6.758620512152991,01:20,2.1982547000000006,-7.086737899999998,-0.5932183690000001,7.580605899999998,13.893045290000007,290773.11243066675,-360.95159320000016,-28.600477459999997,-37.032907050000006,363.9810410401103,6.87821424981577,8.769723168515107,67.58602238557057
03:04,7.461188333333333,2.4741831666666667,-5.82817,9.910219283859433,31.001300000000004,34229.50018106683,-378.92366666666663,-28.88693333333333,-44.8346,382.66475597393156,7.580938243226512,01:15,0.7808506412000001,-5.575325500000002,-1.8719523500000002,6.270591999999997,14.447823340000006,296409.58409866656,-364.3600962,-29.85206701000001,-39.51987285999998,367.74983473436475,6.748644580034853,8.604521839544438,67.36005720304875
03:09,7.648938333333334,2.765375,-5.30156,9.728995299062257,30.32693333333333,38477.91622544526,-380.925,-33.4318,-43.17773333333333,384.858748164937,7.510124631182827,01:10,0.4767445960000001,-6.7602166,-1.5519386849999994,7.213759700000001,14.25011681000001,304857.42604399996,-366.0740937000001,-29.912576679999994,-38.7397428,369.3784328817581,6.760531260873247,8.61967735761339,67.3810730792043
03:16,7.37493,3.7826233333333334,-6.213979999999999,10.364630344004153,29.27266666666667,44001.13922167715,-379.1596666666667,-34.242799999999995,-49.75763333333333,383.97650526936656,7.207985919054067,01:05,0.3335913800000001,-6.101368399999999,-0.6231837709000001,7.132547700000001,15.025188449999998,310340.2790666665,-366.95007010000006,-30.452474199999994,-40.050923020000006,370.41927161631634,6.8057203109093845,8.677293396409466,67.46043607174677
03:21,7.535701666666667,2.7408683333333332,-5.91244,10.002067292003185,29.898666666666667,47425.01523024478,-376.0976666666666,-42.087266666666665,-40.664033333333336,380.73124909938934,7.233681936837549,01:00,3.1094436999999995,-6.498927200000002,-2.1877750999999988,7.586080599999997,15.696321370000005,300733.55331199995,-363.31167229999994,-33.18550620999999,-37.96202966999999,366.81668655059997,6.800975613720468,8.671243907493597,67.45214254623613
03:26,10.019926666666665,0.646635,-9.66221,13.97706524105746,30.7389,45585.22973599599,-373.647,-44.74613333333334,-36.68853333333333,378.10312030395966,7.338636519207074,00:55,2.366662779999999,-7.571380899999999,0.3132060670000001,8.252618099999998,15.339711380000008,298317.87461733347,-365.6670695,-38.53747240999999,-36.186402300000005,369.49761884219015,6.7852817866371415,8.651234277962356,67.42464490288201
03:30,10.872466666666668,1.8315683333333332,-10.669933333333333,15.343541009475866,32.85893333333333,53493.14677287522,-378.3953333333333,-44.21823333333333,-36.496066666666664,382.78592281133507,8.046465916972034,00:50,1.4068259999999997,-8.236430299999997,-1.155624767,8.530654499999997,14.727611269999997,297540.05301199993,-368.4925864,-39.36469351000001,-43.13975025999999,373.1310769952986,6.682800034578999,8.520570044088224,67.24256975396722
03:35,10.568133333333334,1.1633871666666666,-9.941191666666667,14.57788888004895,31.4549,40111.159185529,-388.885,-51.03553333333334,-46.56153333333333,395.01769455141203,8.197376898231331,00:45,1.54807323,-9.810893399999996,-0.4069022350000002,9.997093900000001,13.553460829999995,292852.38331079984,-369.7971004,-39.93256241999999,-44.759856570000004,374.6403741145018,6.661404318259598,8.493290505780989,67.2039965653663
03:40,11.035499999999999,2.4493145000000003,-10.440363333333334,15.448583532219557,29.4705,33027.35427573512,-383.54033333333336,-50.080066666666674,-47.482933333333335,389.70343778859836,7.474933280626068,00:40,2.3898950500000002,-9.595672,1.8682801029999998,10.204487599999998,13.778898649999999,270863.09664706676,-360.5752332,-41.35154587,-39.83308229,365.13405250999426,6.764619388411457,8.624889720224608,67.38828742039193
03:45,11.4596,0.32152033333333335,-11.331883333333336,16.122025319141002,28.965833333333336,35084.524754408216,-381.82933333333335,-52.85716666666667,-46.0967,388.24740268956043,7.294290400814283,00:35,2.3916680999999995,-9.574602699999998,1.6913106900000008,10.094566899999997,13.46925168,275428.2117218668,-362.75537370000006,-41.36131511999999,-41.36113133,367.4551917596645,6.79259161676121,8.660554311370543,67.43746522240792
03:50,11.080666666666666,0.6609148333333333,-11.050883333333331,15.663993360792063,30.165999999999997,32431.295169985515,-379.87266666666665,-49.793499999999995,-55.338,387.1892467566891,7.553682843911889,00:30,2.3621000299999997,-9.6308237,-0.0009047099999998931,10.173395399999999,13.372333560000008,266968.32451440004,-358.56099980000005,-38.214904989999994,-50.88930237999999,364.1829165292524,6.752925815937242,8.609980415319983,67.36763327278372
03:55,10.997466666666668,0.8475639999999999,-10.944316666666666,15.53921880474126,29.6092,29986.968246421104,-373.47866666666664,-51.5059,-56.077,381.1739265689874,7.173385596939831,00:25,2.8478051000000018,-9.647626500000001,-0.9315164330000001,10.186818900000002,13.01518281,268297.8657528,-359.52773,-39.094253880000004,-48.00705736,364.86042264161625,6.80937399995943,8.681951849948273,67.46681631462637
04:00,10.752266666666666,0.9675918333333332,-10.695733333333335,15.196918773302933,27.5115,28707.93506214091,-380.9336666666666,-54.795500000000004,-47.30633333333333,387.75920449682485,6.908395439078877,00:20,0.7639585850000001,-10.901274000000008,1.7932059400000002,11.115142000000002,12.474254710000002,270402.73182800005,-362.9718105,-41.89197035,-42.62154352,367.8693403590192,6.85403438440529,8.738893840116745,67.54436805451526
