Time,IMF B_x,IMF B_y,IMF B_z,IMF B_tot,n,T,V_x,V_y,V_z,V_tot,P_dyn
2008-05-27T23:51:34.523Z,3.5581199999999997,-1.4291200000000002,0.960438,3.9528525219952235,11.1504,20962.03426859904,-325.345,-26.6631,-20.2672,327.06428928033404,3.983851761139256
2008-05-27T23:53:12.351Z,3.62852,-1.839455,0.9437450000000001,4.176171298264716,10.949,19766.51551408696,-325.972,-25.8884,-18.165,327.5025515374804,3.9223857129151587
2008-05-27T23:54:50.187Z,3.690125,-2.3924000000000003,0.852611,4.479681438779548,10.707,19540.181363243966,-326.225,-26.7221,-23.2999,328.14586176488655,3.8507749057758
2008-05-27T23:56:23.429Z,3.725925,-0.8252495000000001,0.46042585,3.8438972158765474,10.3567,19264.693745004835,-327.34,-29.4415,-19.427,329.23500095106834,3.7495561428498396
2008-05-27T23:58:08.906Z,3.8936149999999996,0.2332805,-0.2498605,3.9085915403589433,9.04478,14627.757178086962,-329.482,-29.111,-22.7901,331.5497357908916,3.3207933213351013
2008-05-27T23:59:43.679Z,3.808855,0.3351825,-0.01997505,3.8236269067410005,9.21125,14113.095093642512,-331.366,-29.2585,-25.0349,333.5959112403208,3.4237849169483363
2008-05-28T00:03:02.400Z,3.668685,0.8258245,-0.371487,3.7787879439304675,8.4853,13196.501507555557,-330.095,-25.181,-26.4119,332.10597743432743,3.125842221748251
2008-05-28T00:04:37.175Z,3.5090250000000003,1.1018400000000002,-0.4459805,3.704889531768154,9.90064,16487.626658280195,-327.635,-26.4857,-26.3325,329.75685904274985,3.5958155952502957
2008-05-28T00:06:15.040Z,3.501965,1.5710899999999999,-0.6312875,3.889808036006565,9.23143,14055.207646454106,-330.023,-22.4666,-23.4314,331.6156798924321,3.3906703002267555
2008-05-28T00:07:52.872Z,3.385505,2.095345,-0.5517835,4.019524823274793,8.41324,12890.692766260874,-330.029,-21.6808,-23.5037,331.57445897313926,3.089383936860974
2008-05-28T00:09:29.175Z,3.390895,2.10557,-0.5597055,4.030491802826952,8.65878,11450.60158276087,-329.205,-23.8208,-23.6822,330.9142020743141,3.1668973389379724
2008-05-28T00:11:07.006Z,3.33067,1.7411400000000001,-0.82561,3.847929705776861,8.9033,12144.65475539131,-328.033,-22.4534,-22.1358,329.5448344341025,3.229434579413276
2008-05-28T00:12:44.802Z,3.454415,1.21597,-0.8362799999999999,3.7564518194068452,8.80686,12208.431315185991,-327.677,-26.8157,-21.6051,329.4815297425639,3.1932263676690527
2008-05-28T00:14:22.669Z,3.6114300000000004,0.15967365,-0.03598849999999999,3.6151372714651617,9.26436,12929.950513120779,-328.167,-23.0249,-24.5016,329.88491070609757,3.367338620778468
2008-05-28T00:16:00.500Z,3.65076,0.2778925,0.16810550000000002,3.665178341948247,9.2696,13760.997657004833,-326.609,-21.2929,-23.3007,328.13068904310063,3.3335053906488032
2008-05-28T00:17:35.275Z,3.641385,1.1179100000000002,0.461423,3.8369673794878687,8.86362,14191.97661425121,-329.401,-21.9075,-22.1105,330.8682994296976,3.240917039480803
